provinsi,gk.makanan.perkotaan.2015.maret,gk.makanan.perkotaan.2015.september,gk.makanan.perkotaan.2016.maret,gk.makanan.perkotaan.2016.september,gk.makanan.perdesaan.2015.maret,gk.makanan.perdesaan.2015.september,gk.makanan.perdesaan.2016.maret,gk.makanan.perdesaan.2016.september,gk.makanan.perdesaanperkotaan.2015.maret,gk.makanan.perdesaanperkotaan.2015.september,gk.makanan.perdesaanperkotaan.2016.maret,gk.makanan.perdesaanperkotaan.2016.september,gk.makanan.perkotaan.2017.maret,gk.makanan.perkotaan.2017.september,gk.makanan.perkotaan.2018.maret,gk.makanan.perkotaan.2018.september,gk.makanan.perdesaan.2017.maret,gk.makanan.perdesaan.2017.september,gk.makanan.perdesaan.2018.maret,gk.makanan.perdesaan.2018.september,gk.makanan.perdesaanperkotaan.2017.maret,gk.makanan.perdesaanperkotaan.2017.september,gk.makanan.perdesaanperkotaan.2018.maret,gk.makanan.perdesaanperkotaan.2018.september,gk.makanan.perkotaan.2019.maret,gk.makanan.perkotaan.2019.september,gk.makanan.perkotaan.2020.maret,gk.makanan.perkotaan.2020.september,gk.makanan.perdesaan.2019.maret,gk.makanan.perdesaan.2019.september,gk.makanan.perdesaan.2020.maret,gk.makanan.perdesaan.2020.september,gk.makanan.perdesaanperkotaan.2019.maret,gk.makanan.perdesaanperkotaan.2019.september,gk.makanan.perdesaanperkotaan.2020.maret,gk.makanan.perdesaanperkotaan.2020.september,gk.makanan.perkotaan.2021.maret,gk.makanan.perkotaan.2021.september,gk.makanan.perkotaan.2022.maret,gk.makanan.perkotaan.2022.september,gk.makanan.perdesaan.2021.maret,gk.makanan.perdesaan.2021.september,gk.makanan.perdesaan.2022.maret,gk.makanan.perdesaan.2022.september,gk.makanan.perdesaanperkotaan.2021.maret,gk.makanan.perdesaanperkotaan.2021.september,gk.makanan.perdesaanperkotaan.2022.maret,gk.makanan.perdesaanperkotaan.2022.september,gk.nonmakanan.perkotaan.2015.maret,gk.nonmakanan.perkotaan.2015.september,gk.nonmakanan.perkotaan.2016.maret,gk.nonmakanan.perkotaan.2016.september,gk.nonmakanan.perdesaan.2015.maret,gk.nonmakanan.perdesaan.2015.september,gk.nonmakanan.perdesaan.2016.maret,gk.nonmakanan.perdesaan.2016.september,gk.nonmakanan.perdesaanperkotaan.2015.maret,gk.nonmakanan.perdesaanperkotaan.2015.september,gk.nonmakanan.perdesaanperkotaan.2016.maret,gk.nonmakanan.perdesaanperkotaan.2016.september,gk.nonmakanan.perkotaan.2017.maret,gk.nonmakanan.perkotaan.2017.september,gk.nonmakanan.perkotaan.2018.maret,gk.nonmakanan.perkotaan.2018.september,gk.nonmakanan.perdesaan.2017.maret,gk.nonmakanan.perdesaan.2017.september,gk.nonmakanan.perdesaan.2018.maret,gk.nonmakanan.perdesaan.2018.september,gk.nonmakanan.perdesaanperkotaan.2017.maret,gk.nonmakanan.perdesaanperkotaan.2017.september,gk.nonmakanan.perdesaanperkotaan.2018.maret,gk.nonmakanan.perdesaanperkotaan.2018.september,gk.nonmakanan.perkotaan.2019.maret,gk.nonmakanan.perkotaan.2019.september,gk.nonmakanan.perkotaan.2020.maret,gk.nonmakanan.perkotaan.2020.september,gk.nonmakanan.perdesaan.2019.maret,gk.nonmakanan.perdesaan.2019.september,gk.nonmakanan.perdesaan.2020.maret,gk.nonmakanan.perdesaan.2020.september,gk.nonmakanan.perdesaanperkotaan.2019.maret,gk.nonmakanan.perdesaanperkotaan.2019.september,gk.nonmakanan.perdesaanperkotaan.2020.maret,gk.nonmakanan.perdesaanperkotaan.2020.september,gk.nonmakanan.perkotaan.2021.maret,gk.nonmakanan.perkotaan.2021.september,gk.nonmakanan.perkotaan.2022.maret,gk.nonmakanan.perkotaan.2022.september,gk.nonmakanan.perdesaan.2021.maret,gk.nonmakanan.perdesaan.2021.september,gk.nonmakanan.perdesaan.2022.maret,gk.nonmakanan.perdesaan.2022.september,gk.nonmakanan.perdesaanperkotaan.2021.maret,gk.nonmakanan.perdesaanperkotaan.2021.september,gk.nonmakanan.perdesaanperkotaan.2022.maret,gk.nonmakanan.perdesaanperkotaan.2022.september,gk.total.perkotaan.2013.maret,gk.total.perkotaan.2013.september,gk.total.perkotaan.2014.maret,gk.total.perkotaan.2014.september,gk.total.perdesaan.2013.maret,gk.total.perdesaan.2013.september,gk.total.perdesaan.2014.maret,gk.total.perdesaan.2014.september,gk.total.perdesaanperkotaan.2013.maret,gk.total.perdesaanperkotaan.2013.september,gk.total.perdesaanperkotaan.2014.maret,gk.total.perdesaanperkotaan.2014.september,gk.total.perkotaan.2015.maret,gk.total.perkotaan.2015.september,gk.total.perkotaan.2016.maret,gk.total.perkotaan.2016.september,gk.total.perdesaan.2015.maret,gk.total.perdesaan.2015.september,gk.total.perdesaan.2016.maret,gk.total.perdesaan.2016.september,gk.total.perdesaanperkotaan.2015.maret,gk.total.perdesaanperkotaan.2015.september,gk.total.perdesaanperkotaan.2016.maret,gk.total.perdesaanperkotaan.2016.september,gk.total.perkotaan.2017.maret,gk.total.perkotaan.2017.september,gk.total.perkotaan.2018.maret,gk.total.perkotaan.2018.september,gk.total.perdesaan.2017.maret,gk.total.perdesaan.2017.september,gk.total.perdesaan.2018.maret,gk.total.perdesaan.2018.september,gk.total.perdesaanperkotaan.2017.maret,gk.total.perdesaanperkotaan.2017.september,gk.total.perdesaanperkotaan.2018.maret,gk.total.perdesaanperkotaan.2018.september,gk.total.perkotaan.2019.maret,gk.total.perkotaan.2019.september,gk.total.perkotaan.2020.maret,gk.total.perkotaan.2020.september,gk.total.perdesaan.2019.maret,gk.total.perdesaan.2019.september,gk.total.perdesaan.2020.maret,gk.total.perdesaan.2020.september,gk.total.perdesaanperkotaan.2019.maret,gk.total.perdesaanperkotaan.2019.september,gk.total.perdesaanperkotaan.2020.maret,gk.total.perdesaanperkotaan.2020.september,gk.total.perkotaan.2021.maret,gk.total.perkotaan.2021.september,gk.total.perkotaan.2022.maret,gk.total.perkotaan.2022.september,gk.total.perdesaan.2021.maret,gk.total.perdesaan.2021.september,gk.total.perdesaan.2022.maret,gk.total.perdesaan.2022.september,gk.total.perdesaanperkotaan.2021.maret,gk.total.perdesaanperkotaan.2021.september,gk.total.perdesaanperkotaan.2022.maret,gk.total.perdesaanperkotaan.2022.september
ACEH,293697.0,302128.0,306243.0,319768.0,297479.0,306737.0,287316.1515151515,324854.0,296406.0,305428.0,312801.0,323548.0,330153.0,347811.0,351777.0,360318.0,331267.0,346070.0,353915.0,362463.0,330958.0,346552.0,353291,326701.1515151515,364040.0,357538.8787878788,398026.0,399504.0,372626.0,387367.0,396615.0,397816.0,370093.0,384381,397032.0,398316.0,418047.0,426126.0,448528.0,481276.0,406917.0,414738.0,434104.0,423701.875,410420,418296.0,438658.0,468255.0,116717.0,118196.0,121727.0,125719.0,84638.0,87682.0,88288.0,90972.0,93744.0,96344.0,98155.0,101217.0,127858.0,132061.0,128084.96875,136434,94463.0,96799.0,100825.0,104778.0,104496.0,107572,113105.96875,114830.0,137577.0,140281,143425.0,144182.0,106943.0,110248.0,116270.0,116847.0,116842.0,120033.0,125093,125892.0,147729.0,151144.0,157867.0,164956.0,122118.0,126262.0,131658.0,140763.0,130689.0,134643,143692.81818181818,149038.0,359217.0,374261.0,383186.0,396939.0,319416.0,337962.0,350204.0,369232.0,,,,,410414.0,420324.0,427970.0,402562.57575757575,337648.86666666664,394419.0,403985.0,415826.0,390150,401772,388934.3103448276,392059.42424242425,458011.0,479872,486338.0,496752.0,425730.0,442869.0,454740.0,467242.0,435454.0,454124.0,464626.0,476665.0,501617.0,517900.0,541451.0,543685.0,479569.0,497615.0,512886.0,514663.0,486935.0,504414.0,522125.0,524208.0,565776.0,560334.6451612903,606394.0,646232.0,529035.0,541000.0,565762.0,602900.0,541109,552939.0,579228.0,617293.0
SUMATERA UTARA,261677.0,273271.0,290096.0,284353.0606060606,266143.0,284650.0,304942.0,313234.0,263932.0,279015.0,296832.0,308037.0,311996.0,321688.0,317489.45454545453,345167.0,316190.0,322222.0,333843.0,342317.0,314243.0,321967.0,331105,343740.0,354346.0,366831.0,376919.0,378679.0,348030.0,367379.0,376656.0,378550.0,351215.0,367105,376790.0,378617.0,397996.0,397542.25,431588.0,458089.0,391979.0,384677.0,415301.0,438098.0,395104,404860.0,423760.0,448623.0,107123.24242424243,106627.0,108312.0,111808.0,65752.0,67987.0,72806.0,75473.0,84021.0,87123.0,91324.0,93795.0,113696.0,117206.0,128084.96875,120623,89221.74193548386,84935.0,87743.0,93173.0,97102.0,101729,104865.0,107932.0,129321.0,139706,141299.0,141850.0,97785.0,103166.0,108061.0,108091.0,114907.0,123015.0,126114,126619.0,145089.0,147124.0,151633.0,157137.0,112706.0,114016.0,118883.0,125685.0,130652.0,132451,137244.0,143402.0,301874.77419354836,330517.0,338234.0,349372.0,268559.1666666667,292186.0,299145.0,312493.0,,,,,364320.0,379898.0,398408.0,413835.0,337648.86666666664,352637.0,377748.0,388707.0,347953,366138,388156.0,401832.0,425693.0,438894,448363.0,465790.0,396033.0,407157.0,421586.0,435492.0,411345.0,423696.0,435970.0,451673.0,483667.0,506538.0,518218.0,520529.0,445815.0,470545.0,484717.0,475733.1212121212,466122.0,490120.0,502904.0,505236.0,543085.0,556437.0,583221.0,615227.0,504685.0,513987.0,534184.0,561981.3,525756,537311.0,561004.0,592025.0
SUMATERA BARAT,288410.0,301356.0,312154.0,322168.0,293768.0,313294.0,332415.0,341816.0,291641.0,308554.0,326993.0,334358.0,337132.0,339340.0,317489.45454545453,367319.0,352878.0,354771.0,369087.0,370529.0,301366.1612903226,348429.0,364235,369206.0,382490.0,402124.0,411369.0,413073.0,382217.0,401904.0,415694.0,416419.0,382333.0,402003,413832.0,414949.0,378515.0606060606,431008.0,453326.0,490322.0,438205.0,444693.0,470942.0,500796.0,431644,438308.0,403224.2727272727,495824.0,117925.0,113120.58064516129,129369.0,132506.0,75985.0,77884.0,81375.0,83703.0,92637.0,95393.0,98148.0,103717.0,135481.0,136026.0,139235.0,140237,86342.0,86644.0,91162.0,95901.0,106715.0,107368,112319.0,116426.0,143519.0,149242,151198.0,152458.0,101722.0,108553.0,112136.0,113254.0,121319.0,127697.0,130483,132291.0,156831.0,161294.0,169253.0,165362.9411764706,117976.0,121531.0,125233.39393939394,138150.0,137059.0,141237,148030.0,151527.875,332837.0,320886.5625,374968.0,390862.0,268559.1666666667,321252.0,333511.0,349824.0,,,,,406335.0,423339.0,441523.0,454674.0,369753.0,391178.0,368300.4516129032,425520.0,384278,403947,425141.0,438075.0,472614.0,475365,449144.8,507557.0,439220.0,441415.0,460249.0,466430.0,453611.0,455797.0,476554.0,485632.0,526008.0,551366.0,562567.0,565531.0,483939.0,510457.0,527830.0,529673.0,457784.20588235295,529700.0,544315.0,497433.8181818182,580937.0,592302.0,622579.0,668643.0,556181.0,566224.0,598431.0,638946.0,568703,579545.0,610940.0,654194.0
RIAU,280361.0,288956.0,292026.0,301570.0,302422.0,318195.0,326262.0,333174.0,293851.0,306835.0,312352.0,321762.0,318174.0,327480.0,342425.0,350004.0,346208.0,350965.0,357685.0,358620.0,335922.0,342348.0,351845,355411.0,361135.0,383444.0,400297.0,401965.0,368149.0,381046.0,394776.0,396647.0,365515.0,381904,396883.0,398654.0,419858.0,432554.0,407307.06666666665,486130.0,409818.0,423953.0,435905.0,468911.0,413593,427086.0,441535.0,475492.0,107123.24242424243,128812.0,134320.0,115745.25,93237.0,98585.0,99515.0,100785.0,105361.0,94300.06060606061,113648.0,115497.0,145074.0,147147.0,148954.0,149398,104373.0,106403.0,114001.0,119824.0,120571.0,122833,128099.0,131734.0,152604.0,163071,170165.0,170891.0,123242.0,103885.40625,131654.0,132088.0,135097.0,142957.0,147175,147436.0,175412.0,185998.0,191327.0,200815.0,136989.0,140947.0,146319.0,134341.67741935485,152344.0,158976,164377.0,173340.0,346796.0,366057.0,375286.0,386606.0,312591.0,339829.0,357009.0,374466.0,,,,,365476.30303030304,417768.0,426346.0,439542.0,395659.0,360935.32258064515,425777.0,433960.0,399212,417164,426000.0,437259.0,463248.0,474626,491379.0,499402.0,450581.0,457368.0,471687.0,478445.0,456493.0,465181.0,479944.0,487145.0,513739.0,546515.0,570462.0,572856.0,491391.0,510421.0,526431.0,528735.0,500612.0,524861.0,544058.0,546090.0,595270.0,618552.0,642008.0,686945.0,546807.0,564900.0,582224.0,623910.0,565937,586062.0,605912.0,648832.0
JAMBI,297507.0,308379.0,319954.0,328157.0,247652.0,258946.0,270888.0,277173.0,262791.0,273957.0,284973.0,292122.0,336354.0,308847.0344827586,358637.0,328398.51612903224,302241.625,291651.0,312113.0,314945.0,301576.0,306360.0,326180,329934.0,379659.0,389321.0,366595.26470588235,412391.0,327181.0,351876.4375,358278.96774193546,350313.0,343783.0,355585,362916.1212121212,369835.0,437220.0,448893.0,478149.0,440577.7419354839,362221.0,364150.0,380967.0,410425.0,385360,391656.0,411537.0,443292.0,108566.0,115476.0,118646.0,120458.0,69186.0,70949.0,71249.0,84715.56666666667,81144.0,84470.0,86903.0,87525.0,121463.0,123627.0,129154.0,129210,72641.0,74385.0,86388.0,86819.0,88019.0,90001,100071.0,100501.0,131996.0,135322,142643.76470588235,140106.0,91640.0,96542.0,112319.43333333333,104441.0,104725.0,108973.0,115405,116085.0,146528.0,149285.0,157559.0,166816.0,108537.0,114856.0,122845.0,130842.0,120995.0,126067,134333.0,142658.0,337930.0,369835.0,379183.0,390931.0,258408.0,280660.0,291534.0,312594.06451612903,,,,,406074.0,423855.0,391142.9117647059,448615.0,316838.0,329895.0,342137.0,349735.0,343935,358427,371876.0,379647.0,457818.0,465233,487791.0,492364.0,360519.0,366036.0,398501.0,430205.93548387097,403474.9090909091,396361.0,426251.0,430435.0,511654.0,524643.0,549033.0,552498.0,418821.0,437987.0,453502.0,454754.0,448508.0,464558.0,483542.0,485920.0,583748.0,598178.0,635708.0,684555.0,470758.0,479006.0,503811.0,541267.0,506355,517723.0,545870.0,585950.0
SUMATERA SELATAN,263734.0,272915.0,275736.0,283334.0,243702.0,254209.0,263912.0,270182.0,250850.0,260885.0,269320.0,286891.4482758621,291341.0,308847.0344827586,313669.0,314491.0,273134.0,278321.0,289522.0,291450.0,279284.0,284680.0,297528,298856.0,318325.0,331698.0,337697.0,338390.0,299598.0,311271.0,321453.0,323914.0,306087.0,318123,327021.0,328710.0,350163.0,397542.25,374346.0,400354.0,335549.0,337702.0,401944.2121212121,423701.875,340567,387619.22580645164,360600.0,379882.0,101603.0,105823.0,112324.0,116824.0,61880.0,65785.0,67658.0,69692.0,76055.0,80073.0,82664.0,86661.0,119191.0,120635.0,124314.0,126557,74386.0,77699.0,85005.0,87600.0,90775.0,93568,99621.0,101928.0,128381.0,129424,131854.0,144946.60606060605,90188.0,94735.0,100198.0,100455.0,104445.0,107685.0,112021,112549.0,135276.0,137422.0,141579.0,148101.0,105866.0,108975.0,114139.0,124901.0,116888.0,119702,124469.0,133642.0,311606.0,328335.0,336962.4375,346238.0,252497.0,270166.0,277509.0,285791.0,,,,,365336.0,378739.0,388060.0,400159.0,337648.86666666664,319994.0,331570.0,339874.0,326905,340958,351984.0,361697.0,410532.0,417828,437983.0,441049.0,347520.0,401420.63333333336,374527.0,430205.93548387097,370059.0,378248.0,397149.0,400785.0,446706.0,461122.0,469551.0,513067.8064516129,445719.3870967742,406006.0,421650.0,424369.0,410532.0,425808.0,439042.0,497433.8181818182,485439.0,491658.0,515925.0,548455.0,441415.0,446678.0,467139.0,493882.0,457455,463251.0,485069.0,513524.0
BENGKULU,288387.0,313872.0,315710.0,335957.0,303059.0,329667.0,333753.0,335624.0,262380.93548387097,324764.0,324851.0,335717.0,350441.0,361375.0,380731.0,388650.0,302241.625,352385.0,356600.0,325649.4375,343868.0,355033.0,363700,326701.1515151515,393835.0,422120.0,423966.0,426542.0,358509.0,369733.0,374440.0,377325.0,369211.0,384886,389613.0,365481.8181818182,449159.0,462886.0,407307.06666666665,508068.0,386776.0,405341.0,416744.0,437286.0,405468,423264.0,435393.0,457885.0,109102.0,111770.0,114862.0,122478.0,69112.0,74513.0,76110.0,91690.0,81523.0,86076.0,91576.0,101468.0,120866.93548387097,129101.0,136223.0,142003,97067.0,97472.0,108824.0,117037.0,103349.74193548386,107735,117725.0,125225.0,144674.0,146663,149257.0,150379.0,123409.0,129890.0,131570.0,132162.0,130449.0,135407.0,137419,138121.0,155110.0,161688.0,167708.0,178155.0,137716.0,142987.0,149208.0,162687.0,143466.0,149191,155362.0,167767.0,328972.0,358294.0,362614.0,378881.0,281468.0,313265.0,325261.0,346395.0,,,,,365476.30303030304,425642.0,430572.0,458435.0,372171.0,404179.0,409863.0,427315.0,380028,410840,416427.0,437185.0,477801.0,490475,449144.8,459224.3548387097,438342.0,449857.0,465424.0,474010.0,403474.9090909091,462768.0,481425.0,492114.0,538508.0,568783.0,573222.0,576921.0,481918.0,499623.0,506010.0,509487.0,499660.0,520293.0,527032.0,530382.0,604269.0,624573.0,647836.0,686223.0,524492.0,548327.0,565952.0,561981.3,548934,572455.0,590755.0,625652.0
LAMPUNG,260892.0,274255.0,279240.0,284222.0,251365.0,264450.0,272168.0,273647.0,253869.0,267028.0,283453.6060606061,276216.0,302761.0,307473.0,321620.0,327530.0,285183.0,286434.0,293926.0,299041.0,289705.0,291600.0,301234,306926.0,335947.0,344994.0,364654.0,367275.0,304512.0,318866.0,333219.0,335769.0,313620.0,326364,342151.0,344944.0,375720.0,392074.0,412358.0,439148.0,347870.0,361365.0,372425.0,392553.0,356329,370907.0,384769.0,406732.0,109948.0,112473.0,113248.0,114155.0,74918.0,81638.0,82510.0,84145.0,84127.0,89744.0,90485.0,92376.0,117466.0,119599.0,122626.0,125522,86711.0,89454.36666666667,92038.0,93160.0,95176.0,98583,101073.0,102954.0,127707.0,132077,136066.0,137055.0,94425.0,97828.0,100624.0,101339.0,104689.0,108311.0,111581,112551.0,140283.0,143059.0,148109.0,156844.0,116392.21875,111553.0,120198.0,130606.0,115110.0,121713,129270.0,139260.0,310464.0,326468.0,336927.0,350024.0,265105.0,284504.0,295931.0,307818.0,,,,,370839.0,386728.0,392488.0,398378.0,326283.0,346088.0,354678.0,357792.0,337996,356772,364922.0,368592.0,420227.0,427072,444246.0,453053.0,371894.0,377049.0,385965.0,392201.0,384881.0,390183.0,402307.0,409880.0,463654.0,477071.0,500720.0,504330.0,398937.0,416694.0,433843.0,437107.0,418309.0,434675.0,453732.0,457495.0,516003.0,535133.0,560467.0,595992.0,451211.0,472918.0,492623.0,523159.0,471439,492620.0,514039.0,545992.0
KEP. BANGKA BELITUNG,330178.0,362214.0,275216.8823529412,387559.0,375657.0,406405.0,409399.0,427177.0,353260.0,384643.0,388454.0,407858.0,400464.0,421894.0,442588.0,469429.0,449106.0,464559.0,472431.0,495542.0,424845.0,441580.0,457834,482102.0,480596.0,504235.0,507398.0,511872.0,507100.0,541062.0,543077.0,546174.0,492693.0,521298,524371.0,528771.0,525236.0,538158.0,561881.0,605177.0,372772.96774193546,576533.0,600254.0,641806.0,544017,555279.0,579537.0,622068.0,145300.0,154621.0,155835.0,166122.0,125875.0,136327.0,137599.0,146405.0,135441.0,145336.0,145776.0,156533.0,120866.93548387097,121623.34375,180347.0,186718,153836.0,89454.36666666667,165869.0,176561.0,162685.0,166347,173633.0,182017.0,135317.90625,200912,203236.0,204588.0,178334.0,103885.40625,189493.0,190676.0,185024.0,193549.0,197084,198343.0,212698.0,215609.0,223107.0,231249.0,202340.0,214613.0,220289.0,231037.0,208186.0,215178,221901.0,231158.0,390488.0,416935.0,439377.0,458055.0,409901.0,293152.3125,448817.0,481226.0,,,,,475478.0,516835.0,521773.0,553681.0,501532.0,542732.0,546998.0,369049.0333333333,488701,529979,534230.0,564391.0,571229.0,595031,622935.0,656148.0,602942.0,623111.0,638300.0,672104.0,587530.0,607927.0,631467.0,664120.0,671054.0,705147.0,710634.0,716460.0,685433.0,725743.0,466396.6451612903,736850.0,677717.0,714847.0,721455.0,727114.0,737934.0,753768.0,784988.0,836425.0,768414.0,791146.0,820543.0,872843.0,752203,770457.0,801438.0,853226.0
KEP. RIAU,298998.0,318580.0,326014.0,334582.0,316511.0,343566.0,353153.0,291649.6060606061,262380.93548387097,322677.0,330442.0,339924.0,340729.0,357478.0,373829.0,376276.0,375168.0,387266.0,396882.0,405549.0,346267.0,362339.0,377389,379602.0,393859.0,397193.0,406556.0,408172.0,412190.0,429322.0,442464.0,444217.0,337591.84375,400070,362916.1212121212,410811.0,426912.0,429830.0,453563.0,486016.0,458274.0,467527.0,496488.0,525085.0,429298,432804.0,458362.0,491238.0,155149.0,166916.0,168404.0,171398.0,104127.0,113367.0,113836.0,115276.0,146782.0,158135.0,159715.0,162729.0,175688.0,182583.0,190164.0,194632,117473.0,120529.0,131906.0,137637.0,166969.0,173687,181902.0,188369.0,204035.0,208017,210186.0,211289.0,144058.0,147937.0,152786.0,153682.0,198052.0,201968.0,204502,206721.0,217689.0,225676.0,233682.0,247232.0,156472.0,159285.0,162820.0,172647.0,213127.0,221050,225707.0,239224.0,383332.0,405578.0,421733.0,431127.0,326819.0,364773.0,385071.0,399063.0,,,,,454147.0,485496.0,494418.0,505980.0,420638.0,456933.0,466989.0,481687.0,448652,480812,490157.0,502653.0,516418.0,540062,563993.0,570910.0,492642.0,507795.0,528788.0,543187.0,513236.0,536026.0,559291.0,567972.0,597894.0,605210.0,616743.0,513067.8064516129,556248.0,577259.0,595249.0,597899.0,594059.0,602038.0,614727.0,617532.0,644601.0,655506.0,687245.0,733248.0,614746.0,626811.0,659308.0,697732.0,642425,653854.0,684069.0,730462.0
